"","districts_included","cluster","map","value"
"418",67,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_pred_2018",0.269
"419",68,"Anson-Union","D_voteshare_pred_2018",0.399
"420",69,"Anson-Union","D_voteshare_pred_2018",0.38
"421",71,"Forsyth-Yadkin","D_voteshare_pred_2018",0.7
"422",72,"Forsyth-Yadkin","D_voteshare_pred_2018",0.76
"423",73,"Forsyth-Yadkin","D_voteshare_pred_2018",0.337
"424",74,"Forsyth-Yadkin","D_voteshare_pred_2018",0.423
"425",75,"Forsyth-Yadkin","D_voteshare_pred_2018",0.437
"426",76,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_pred_2018",0.381
"427",77,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_pred_2018",0.279
"428",82,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_pred_2018",0.427
"429",83,"Cabarrus-Davie-Montgomery-Richmond-Rowan-Stanly","D_voteshare_pred_2018",0.419
"430",88,"Mecklenburg","D_voteshare_pred_2018",0.722
"431",92,"Mecklenburg","D_voteshare_pred_2018",0.663
"432",98,"Mecklenburg","D_voteshare_pred_2018",0.458
"433",99,"Mecklenburg","D_voteshare_pred_2018",0.772
"434",100,"Mecklenburg","D_voteshare_pred_2018",0.673
"435",101,"Mecklenburg","D_voteshare_pred_2018",0.742
"436",102,"Mecklenburg","D_voteshare_pred_2018",0.795
"437",103,"Mecklenburg","D_voteshare_pred_2018",0.456
"438",104,"Mecklenburg","D_voteshare_pred_2018",0.528
"439",105,"Mecklenburg","D_voteshare_pred_2018",0.499
